metric,value
timestamp,2025-10-01T18:41:31.186189Z
seed,42
epochs,800
learning_rate,0.0002
noise_std,0.002
variability_bound,0.05
max_physics_weight,0.3
hidden_layers,4
neurons_per_layer,128
state_mixing,0.2
use_concentration_feature,False
trainable_params,ohmic_conductance
train_samples,800
test_samples,200
pinn_rrmse,0.09929686039686203
vteam_rrmse,0.25109386444091797
improvement_factor,2.5287190696399198
set_voltage_mean,0.9963927918672562
set_voltage_std,0.08851819218754703
on_resistance_cv,0.5494519587299047
final_total_loss,2.8973623557249084e-05
final_data_loss,4.592056157548541e-08
final_physics_loss,9.64256760198623e-05
final_lambda_physics,0.3
noise_rrmse_0.010,0.0014557131798937917
noise_rrmse_0.020,0.0033153363037854433
noise_rrmse_0.050,0.008314157836139202
noise_rrmse_0.100,0.01676827110350132
param_ohmic_conductance,9.999997701015673e-07
