metric,value
timestamp,2025-10-06T20:07:17.413916Z
seed,42
epochs,800
learning_rate,0.0002
noise_std,0.002
variability_bound,0.05
max_physics_weight,0.1
hidden_layers,4
neurons_per_layer,128
state_mixing,0.2
use_concentration_feature,False
trainable_params,ohmic_conductance
train_samples,800
test_samples,200
training_time_minutes,0.3366207957267761
pinn_inference_ms_per_1000pts,34.40260887145996
vteam_inference_ms_per_1000pts,4.494190216064453
pinn_rrmse,0.06402335315942764
vteam_rrmse,0.25109386444091797
improvement_factor,3.9219105537264976
set_voltage_mean,0.9963927918672562
set_voltage_std,0.08851819218754703
on_resistance_cv,0.5494519587299047
final_total_loss,1.764794797054492e-05
final_data_loss,3.864147046783728e-08
final_physics_loss,0.00017609307542443275
final_lambda_physics,0.1
noise_rrmse_0.010,0.0015126517973840237
noise_rrmse_0.020,0.0035207890905439854
noise_rrmse_0.050,0.008623060770332813
noise_rrmse_0.100,0.017945747822523117
param_ohmic_conductance,9.999997701015673e-07
