Cycle,I_on(A),I_off(A),R_on(Ohm),R_off(Ohm),R_window
1,0.0031364464666694403,0.0001027690595947206,637.6643187173906,19461.11006976299,30.519364967617154
2,0.003167703514918685,9.965748904505745e-05,631.3722196377863,20068.737423506795,31.785905048245684
3,0.003086482174694538,9.626171959098428e-05,647.9868945136378,20776.690752266866,32.063442838394614
4,0.0032060628291219473,8.809684368316084e-05,623.8180927739108,22702.288682335606,36.39248195156717
5,0.003069442231208086,0.00011853518662974238,651.5841800225854,16872.626938822745,25.894776847157186
6,0.0030718808993697166,0.0001013204237096943,651.0669081471517,19739.35665716412,30.31847635036414
7,0.0029582802671939135,0.0001049833808792755,676.0684650143166,19050.63414988744,28.17855755109657
8,0.003025494981557131,0.00011199917207704857,661.0488569740121,17857.274701699116,27.013547506067532
9,0.003068222664296627,0.00010640038817655295,651.8431737765178,18796.923728176855,28.836573710322103
10,0.0031281898263841867,8.753860311117023e-05,639.3473895004682,22847.06296504439,35.73497497642893
11,0.003089743899181485,8.318074105773121e-05,647.3028395274198,24044.02690483224,37.144942732502464
12,0.0030515105463564396,9.773790225153789e-05,655.4131040879489,20462.890377879376,31.221362908748755
13,0.003152173478156328,0.00010142911924049258,634.4828459553232,19718.203167472206,31.077598540561098
14,0.0030403954442590475,0.0001152705226559192,657.8091685799102,17350.489410197966,26.37617448789062
15,0.003056296380236745,9.992192644858733e-05,654.3867971308105,20015.62671045409,30.586843741673185
16,0.003017360344529152,0.0001059967908076942,662.8310082232694,18868.49560153218,28.46652520392721
17,0.0030698247719556093,9.579819743521512e-05,651.5029840202936,20877.219328425348,32.0447025424139
18,0.0030915753450244665,9.839156700763851e-05,646.9193780354891,20326.94508786294,31.4211411468151
19,0.003031719708815217,0.00010529252176638693,659.6915913845808,18994.70111887632,28.79330488207325
20,0.003123397706076503,8.259682363132015e-05,640.3283179304111,24214.005912784374,37.8149852735638
21,0.0029866646509617567,8.244907076004893e-05,669.6433088617173,24257.398625670266,36.22435751191754
22,0.003154489677399397,9.292463801102713e-05,634.0169738690695,21522.816997574402,33.94675203446378
23,0.003080339403823018,0.00010844245844054967,649.2791011498653,18442.960537025076,28.405289041897113
24,0.0031560526695102453,7.636121881660074e-05,633.702985595819,26191.30502110189,41.330569077998504
25,0.0031761014834046364,8.582836017012596e-05,629.702800688342,23302.320733302484,37.00526773555748
26,0.003077514236792922,0.00012066465569660068,649.8751412550166,16574.861726319763,25.50468647609902
27,0.0030507880728691816,9.546491492073983e-05,655.5683159805615,20950.104870573698,31.957165042727443
28,0.0029644202440977097,9.933533146977425e-05,674.6681761155219,20133.822983967562,29.84255623244351
29,0.0030735370237380266,9.499830048298463e-05,650.7160915591932,21053.007988339927,32.35359976713411
30,0.00296569662168622,0.00011397490743547678,674.3778121810965,17547.7219280438,26.020609828918214
31,0.003011271357536316,0.00012088697985745966,664.1712957320914,16544.37877275007,24.909806971579247
32,0.003151294309645891,0.00011178790737176314,634.6598580917943,17891.02264395875,28.18993893477201
33,0.003055298700928688,0.00010892091086134315,654.6004810388849,18361.94690094047,28.05061626566346
34,0.0031349994242191315,8.700996113475412e-05,637.9586496607421,22985.87369688265,36.03035041394333
35,0.0030691756401211023,0.00013456707529257983,651.6407771532567,14862.476432582507,22.807775316809344
36,0.0030285711400210857,9.641291399020702e-05,660.3774211906734,20744.108817819135,31.41250465592403
37,0.00308799697086215,0.00011420887312851846,647.6690288960818,17511.774065379665,27.038152642913268
38,0.0031389365904033184,0.0001235420786542818,637.1584585293785,16188.81603415426,25.40783351055178
39,0.0029735469724982977,9.30615933611989e-05,672.5974123916576,21491.14265372913,31.952461097508216
40,0.0030166974756866693,7.795205601723865e-05,662.9766542572445,25656.795683502125,38.69939539914315
41,0.0030230004340410233,0.00011479000386316329,661.5943473964003,17423.119742734765,26.33504928102952
42,0.002983424346894026,0.00012105856148991734,670.3706100045015,16520.929696043393,24.644471952510653
43,0.0029226227197796106,9.790039621293545e-05,684.3168588884779,20428.92630609003,29.8530220916555
44,0.0030399817042052746,8.891046309145167e-05,657.89869609263,22494.540102083334,34.19149518866986
45,0.0029504408594220877,8.321262430399656e-05,677.8647987249884,24034.814340894776,35.456649152017356
46,0.0029775933362543583,8.521330892108381e-05,671.6833944302824,23470.511846708025,34.94281984835365
47,0.0029654521495103836,0.00011711254774127156,674.4334079562809,17077.589220762824,25.32138684012203
48,0.0030067593324929476,9.30780079215765e-05,665.1679692889165,21487.35263218956,32.303649039445105
49,0.0029981655534356833,0.00011530850315466523,667.0745706624067,17344.774478362553,26.001252695240876
50,0.0028989799320697784,0.00012624601367861032,689.8978420599713,15842.084243938174,22.962942160588838
51,0.0030145347118377686,9.399815462529659e-05,663.4523037610921,21277.013221116482,32.07014747028189
52,0.0029684409964829683,0.00012229863204993308,673.7543382859424,16353.412545366913,24.272070124209723
53,0.0030330743174999952,0.00012495981354732066,659.3969649214196,16005.145392102242,24.272397726321923
54,0.0029276644345372915,9.954586857929826e-05,683.1384006046293,20091.24043471035,29.410205043265144
55,0.0028274578507989645,0.00010291855141986161,707.3491824917935,19432.84231049904,27.47277128679582
56,0.0029304088093340397,0.00010696620302041993,682.4986305484177,18697.49439381993,27.395651151410615
57,0.002960083307698369,0.0001057577901519835,675.6566594334994,18911.13626915505,27.989269409423105
58,0.0030073465313762426,0.00011870852904394269,665.0380920417934,16847.988929352035,25.333870542100083
59,0.0030517373234033585,9.86964296316728e-05,655.36439981479,20264.157347937336,30.920442663141472
60,0.003011214779689908,9.26761858863756e-05,664.1837748756581,21580.516713015753,32.491785450579314
61,0.0030047318432480097,9.737236541695893e-05,665.6168016552364,20539.7082724249,30.858157758859686
62,0.002955694915726781,0.00012795999646186829,676.6598232725778,15629.884648880165,23.098585302860524
63,0.0029394938610494137,0.00011953258945140988,680.3892417742968,16731.83850903827,24.591568299060004
64,0.002854487393051386,0.00010595092317089438,700.6511936846888,18876.66403715445,26.941599767900257
65,0.0029062519315630198,0.00012306995631661266,688.1715853987245,16250.9197500959,23.614633464821377
66,0.002873250050470233,0.00010586946154944599,696.0758598008573,18891.188751108533,27.13955452572824
67,0.0029599580448120832,9.154648432740942e-05,675.6852526439399,21846.824515951037,32.33284200071697
68,0.0029332346748560667,9.551824041409418e-05,681.8411143378081,20938.408940440255,30.70863358067702
69,0.003021802054718137,9.429213241674006e-05,661.8567209640396,21210.677153317352,32.04723391253405
70,0.0027792740147560835,9.316210343968123e-05,719.6123839037559,21467.956440324087,29.8326667529881
71,0.0029473858885467052,0.00010451211710460484,678.5674068310041,19136.53685592924,28.201379351978158
72,0.002946873428300023,0.00010529754945309833,678.6854094629589,18993.794170841997,27.98615368182397
73,0.002940691076219082,0.00011552756768651307,680.1122414705785,17311.885143424508,25.45445308555502
74,0.002797116292640567,0.00011215994163649157,715.0221120756171,17831.6781641193,24.938638767906404
75,0.002863409463316202,9.603177022654563e-05,698.4680413066983,20826.440816986087,29.81731387168961
76,0.0028934013098478317,0.00010973945609293878,691.2279995525249,18224.985369721595,26.366098279467508
77,0.0028551153372973204,0.000118005889817141,700.4970948713834,16948.30644598201,24.19468484604329
78,0.0029056714847683907,0.0001305874320678413,688.3090568895161,15315.409400543029,22.25077419401352
79,0.0029226564802229404,0.00011271837865933776,684.308954148156,17743.335257696966,25.928836894709775
80,0.0028257155790925026,0.0001422804780304432,707.7853178466489,14056.742102843693,19.860177582673835
81,0.0029307198710739613,0.00011553960212040693,682.4261912772558,17310.081963114815,25.36550059826482
82,0.002861584071069956,0.00011498805542942137,698.9135910842836,17393.11074648507,24.885924337945223
83,0.0030094017274677753,0.0001124880654970184,664.583920810829,17779.663765960562,26.753075434428798
84,0.0028951477725058794,0.0001313637476414442,690.8110246746057,15224.900481935669,22.03916836606232
85,0.002992804627865553,9.947876242222264e-05,668.2694823143589,20104.79353780566,30.084859581165517
86,0.0029523782432079315,0.00011157619883306324,677.4199762254931,17924.969688807618,26.460645268661114
87,0.002939937636256218,0.00010715900134528056,680.2865389575263,18663.854237423133,27.435283764432107
88,0.00291781616397202,0.00011442991672083735,685.4441427838133,17477.946675441905,25.498717670061687
89,0.0027833380736410618,9.845497697824612e-05,718.5616502076987,20313.853510199406,28.27016095880949
90,0.002752023283392191,0.00011583221203181893,726.7380371898699,17266.354044799293,23.75870418392347
91,0.0028575160540640354,0.00012633322330657393,699.9085784507275,15831.148227061654,22.61888011446361
92,0.0029066563583910465,0.0001154488418251276,688.0758344680986,17323.690312162205,25.177007306983672
93,0.002837526146322489,0.00010606770229060203,704.8393199432594,18855.88108305167,26.752027801981303
94,0.002832302823662758,9.40191384870559e-05,706.1391820763869,21272.264465634154,30.124747366494415
95,0.002881941618397832,0.00011951194028370082,693.9765838899577,16734.729421324882,24.114256604338784
96,0.0027353789191693068,0.0001305084879277274,731.1601274883736,15324.673639486808,20.95939461596323
97,0.0029231831431388855,0.0001142567052738741,684.185663840492,17504.44297953055,25.58434633265198
98,0.0028336169198155403,9.092436812352389e-05,705.8117084593009,21996.30329337706,31.164548603751914
99,0.0027684331871569157,0.00012141154729761183,722.4302932632808,16472.89757888163,22.802058181242806
100,0.002816157415509224,0.00010593376646284014,710.1875727100177,18879.72124376269,26.584133501124526
101,0.0028016227297484875,0.00012217534822411835,713.8719921313873,16369.914329700026,22.93116204324649
102,0.002740338211879134,0.00010436041338834912,729.8369196182911,19164.354719381812,26.258406781346277
103,0.0028889700770378113,0.00012044301547575742,692.2882362832917,16605.362921996868,23.986198308303738
104,0.002845569048076868,0.0001312924432568252,702.847116167791,15233.16906255274,21.673517201877683
105,0.0028029149398207664,9.564493666402996e-05,713.5428802610571,20910.67283691856,29.305418658606992
106,0.0028383699245750904,8.252490079030395e-05,704.6297883792488,24235.109119935783,34.39410243452816
107,0.002777837449684739,0.00010675036173779517,719.9845331147791,18735.299334883628,26.02180807111431
108,0.0028123704250901937,0.00010723789455369115,711.1438740238905,18650.12353770644,26.225527940187106
109,0.0028213004115968943,0.00012226963008288294,708.8929598103592,16357.29152273519,23.074416661030234
110,0.002764846896752715,7.185385038610548e-05,723.3673595545607,27834.276958280683,38.478757149646114
