cycle,T_K,I_on_A,I_off_A,Rwin_Ion_over_Ioff,tau_s,retention_drop_frac_at_tobs
0.000000000000000000e+00,2.500000000000000000e+02,2.518371062307622320e-03,1.007348424923048847e-04,2.500000000000000355e+01,9.751124699375864863e+07,2.038954951701144047e-03
0.000000000000000000e+00,2.750000000000000000e+02,2.748656614952632582e-03,1.099462645981053152e-04,2.499999999999999645e+01,1.460036572372009978e+07,1.121054822539313545e-02
0.000000000000000000e+00,3.000000000000000000e+02,3.000000000000000062e-03,1.200000000000000030e-04,2.500000000000000000e+01,3.000000000000000000e+06,4.575725881790104754e-02
0.000000000000000000e+00,3.250000000000000000e+02,3.274326793328855446e-03,1.309730717331542146e-04,2.500000000000000000e+01,7.863364131961344974e+05,1.446954299318927717e-01
0.000000000000000000e+00,3.500000000000000000e+02,3.573738649837074257e-03,1.429495459934829724e-04,2.500000000000000000e+01,2.495564427446389454e+05,3.553736843032748727e-01
0.000000000000000000e+00,3.750000000000000000e+02,3.900529404505473190e-03,1.560211761802189352e-04,2.500000000000000000e+01,9.229704549441397830e+04,6.586367856808932331e-01
1.000000000000000000e+00,2.500000000000000000e+02,2.511185985698277320e-03,1.031607792281985221e-04,2.434244879193250810e+01,9.751124699375864863e+07,2.038954951701144047e-03
1.000000000000000000e+00,2.750000000000000000e+02,2.740814518667933092e-03,1.125940344825243931e-04,2.434244879193250810e+01,1.460036572372009978e+07,1.121054822539313545e-02
1.000000000000000000e+00,3.000000000000000000e+02,2.991440804673047970e-03,1.228898879583742237e-04,2.434244879193250810e+01,3.000000000000000000e+06,4.575725881790104754e-02
1.000000000000000000e+00,3.250000000000000000e+02,3.264984925799397503e-03,1.341272175904285836e-04,2.434244879193251165e+01,7.863364131961344974e+05,1.446954299318927717e-01
1.000000000000000000e+00,3.500000000000000000e+02,3.563542540786596331e-03,1.463921140903298658e-04,2.434244879193250810e+01,2.495564427446389454e+05,3.553736843032748727e-01
1.000000000000000000e+00,3.750000000000000000e+02,3.889400940154912577e-03,1.597785404993405840e-04,2.434244879193250810e+01,9.229704549441397830e+04,6.586367856808932331e-01
2.000000000000000000e+00,2.500000000000000000e+02,2.504021408580312316e-03,1.045798612478181824e-04,2.394362909553537833e+01,9.751124699375864863e+07,2.038954951701144047e-03
2.000000000000000000e+00,2.750000000000000000e+02,2.732994796394525288e-03,1.141428805754483530e-04,2.394362909553537833e+01,1.460036572372009978e+07,1.121054822539313545e-02
