Time_s,Current_A,Temperature_K,State_x
1.000000000000000021e-02,1.775007258402183652e-04,3.000000355001451453e+02,2.000792473554611206e-01
1.035231775930738757e-02,1.775315759005025029e-04,3.000000367498449805e+02,2.000820338726043701e-01
1.071704829896710960e-02,1.775413402356207371e-04,3.000000380435996021e+02,2.000849246978759766e-01
1.109462894327521883e-02,1.774982811184599996e-04,3.000000393825614537e+02,2.000879198312759399e-01
1.148551242423937954e-02,1.775161799741908908e-04,3.000000407687849133e+02,2.000910192728042603e-01
1.189016742441989863e-02,1.775097334757447243e-04,3.000000422037392127e+02,2.000942230224609375e-01
1.230907913889602370e-02,1.775426935637369752e-04,3.000000436894655422e+02,2.000975459814071655e-01
1.274274985703133418e-02,1.775579585228115320e-04,3.000000452276046303e+02,2.001009732484817505e-01
1.319169956473571596e-02,1.775029522832483053e-04,3.000000468193721304e+02,2.001045346260070801e-01
1.365646656794611107e-02,1.775139098754152656e-04,3.000000484672482912e+02,2.001082152128219604e-01
1.413760813807360579e-02,1.775440759956836700e-04,3.000000501733930491e+02,2.001120299100875854e-01
1.463570118019079727e-02,1.775411947164684534e-04,3.000000519395346146e+02,2.001159787178039551e-01
1.515134292476053024e-02,1.775397104211151600e-04,3.000000537677940997e+02,2.001200616359710693e-01
1.568515164373547946e-02,1.775054843164980412e-04,3.000000556600034542e+02,2.001242935657501221e-01
1.623776739188721729e-02,1.775717246346175671e-04,3.000000576195062081e+02,2.001286745071411133e-01
1.680985277425363703e-02,1.775132986949756742e-04,3.000000596472651750e+02,2.001332044601440430e-01
1.740209374062485007e-02,1.775141136022284627e-04,3.000000617463552430e+02,2.001378983259201050e-01
1.801520040802025505e-02,1.775311393430456519e-04,3.000000639194800556e+02,2.001427561044692993e-01
1.864990791214297255e-02,1.775527634890750051e-04,3.000000661693044890e+02,2.001477777957916260e-01
1.930697728883249559e-02,1.775474956957623363e-04,3.000000684981771428e+02,2.001529783010482788e-01
1.998719638657250539e-02,1.775269047357141972e-04,3.000000709086615984e+02,2.001583576202392578e-01
2.069138081114790112e-02,1.775575656211003661e-04,3.000000734043337616e+02,2.001639306545257568e-01
2.142037490358384214e-02,1.775523996911942959e-04,3.000000759876756433e+02,2.001696974039077759e-01
2.217505275253931624e-02,1.774900883901864290e-04,3.000000786608977705e+02,2.001756727695465088e-01
2.295631924236909635e-02,1.775487326085567474e-04,3.000000814290097537e+02,2.001818567514419556e-01
2.376511113811075396e-02,1.775429700501263142e-04,3.000000842943301222e+02,2.001882642507553101e-01
2.460239820869776495e-02,1.775540586095303297e-04,3.000000872605465929e+02,2.001948952674865723e-01
2.546918438974540150e-02,1.775127602741122246e-04,3.000000903302951087e+02,2.002017498016357422e-01
2.636650898730358294e-02,1.775428099790588021e-04,3.000000935084601679e+02,2.002088576555252075e-01
2.729544792402007272e-02,1.775668060872703791e-04,3.000000967987481886e+02,2.002162039279937744e-01
2.825711502920828441e-02,1.775432028807699680e-04,3.000001002041885272e+02,2.002238184213638306e-01
2.925266337436644576e-02,1.775748969521373510e-04,3.000001037299006157e+02,2.002317011356353760e-01
3.028328665574945774e-02,1.775645505404099822e-04,3.000001073792531656e+02,2.002398520708084106e-01
3.135022062565115397e-02,1.775580749381333590e-04,3.000001111566513714e+02,2.002482861280441284e-01
3.245474457411330615e-02,1.775677374098449945e-04,3.000001150669302206e+02,2.002570182085037231e-01
3.359818286283781236e-02,1.775422570062801242e-04,3.000001191139453454e+02,2.002660632133483887e-01
3.478190651314130161e-02,1.775672426447272301e-04,3.000001233036564372e+02,2.002754211425781250e-01
3.600733484985620125e-02,1.775610435288399458e-04,3.000001276403131669e+02,2.002851068973541260e-01
3.727593720314940212e-02,1.775541313691064715e-04,3.000001321290324654e+02,2.002951353788375854e-01
3.858923467029903159e-02,1.775829878170043230e-04,3.000001367760657445e+02,2.003055214881896973e-01
3.994880193954170045e-02,1.775709824869409204e-04,3.000001415858640144e+02,2.003162652254104614e-01
4.135626917817709913e-02,1.776111457729712129e-04,3.000001465655736297e+02,2.003273963928222656e-01
4.281332398719393806e-02,1.775816199369728565e-04,3.000001517191412859e+02,2.003389149904251099e-01
4.432171342476085713e-02,1.775921118678525090e-04,3.000001570538174178e+02,2.003508359193801880e-01
4.588324610100844719e-02,1.775365089997649193e-04,3.000001625738741495e+02,2.003631740808486938e-01
4.749979434661412425e-02,1.775932614691555500e-04,3.000001682893548036e+02,2.003759443759918213e-01
4.917329645779018599e-02,1.776269054971635342e-04,3.000001742063715824e+02,2.003891766071319580e-01
5.090575902036681422e-02,1.776061108103021979e-04,3.000001803301097425e+02,2.004028707742691040e-01
5.269925931575656503e-02,1.775952696334570646e-04,3.000001866681109277e+02,2.004170417785644531e-01
5.455594781168519869e-02,1.776040298864245415e-04,3.000001932285596808e+02,2.004317045211791992e-01
5.647805074067554360e-02,1.776036951923742890e-04,3.000002000188708280e+02,2.004468888044357300e-01
5.846787276937589345e-02,1.776106655597686768e-04,3.000002070473429399e+02,2.004626095294952393e-01
6.052779976193348871e-02,1.776106946635991335e-04,3.000002143219940081e+02,2.004788815975189209e-01
6.266030164072655673e-02,1.776113349478691816e-04,3.000002218514198944e+02,2.004957199096679688e-01
6.486793534788511117e-02,1.776334247551858425e-04,3.000002296454339330e+02,2.005131542682647705e-01
6.715334791115142032e-02,1.776147400960326195e-04,3.000002377114096248e+02,2.005311995744705200e-01
6.951927961775605791e-02,1.775933633325621486e-04,3.000002460586441089e+02,2.005498856306076050e-01
7.196856730011520764e-02,1.776077260728925467e-04,3.000002546986256107e+02,2.005692124366760254e-01
7.450414773728912532e-02,1.776344870449975133e-04,3.000002636421753550e+02,2.005892246961593628e-01
7.712906117627991998e-02,1.776077115209773183e-04,3.000002728970689532e+02,2.006099373102188110e-01
7.984645497739085995e-02,1.776647695805877447e-04,3.000002824786149631e+02,2.006313800811767578e-01
8.265958738801812422e-02,1.776347198756411672e-04,3.000002923933497527e+02,2.006535679101943970e-01
8.557183144940005981e-02,1.776292920112609863e-04,3.000003026541946838e+02,2.006765455007553101e-01
8.858667904100822610e-02,1.776393910404294729e-04,3.000003132740628757e+02,2.007003277540206909e-01
9.170774506742930543e-02,1.776617573341354728e-04,3.000003242661694571e+02,2.007249444723129272e-01
9.493877179275829470e-02,1.776571443770080805e-04,3.000003356416978022e+02,2.007504105567932129e-01
9.828363332770025107e-02,1.776558929122984409e-04,3.000003474141175275e+02,2.007767707109451294e-01
1.017463402747606355e-01,1.776461722329258919e-04,3.000003595965508794e+02,2.008040547370910645e-01
1.053310445370937015e-01,1.777050929376855493e-04,3.000003722080502371e+02,2.008323073387145996e-01
1.090420442967752618e-01,1.777116267476230860e-04,3.000003852596799447e+02,2.008615434169769287e-01
1.128837891684688899e-01,1.776954159140586853e-04,3.000003987648820498e+02,2.008918076753616333e-01
1.168608855346650877e-01,1.776985591277480125e-04,3.000004127407752890e+02,2.009231299161911011e-01
1.209781020688901337e-01,1.777111319825053215e-04,3.000004272043452147e+02,2.009555399417877197e-01
1.252403754535073022e-01,1.776534190867096186e-04,3.000004421664078222e+02,2.009890824556350708e-01
1.296528162989668276e-01,1.777282159309834242e-04,3.000004576556092957e+02,2.010238021612167358e-01
1.342207152716012042e-01,1.777203578967601061e-04,3.000004736827296483e+02,2.010597437620162964e-01
1.389495494373137463e-01,1.777351571945473552e-04,3.000004902683346018e+02,2.010969370603561401e-01
1.438449888287662848e-01,1.777309080353006721e-04,3.000005074297444594e+02,2.011354267597198486e-01
1.489129032439409361e-01,1.777419820427894592e-04,3.000005251882064954e+02,2.011752724647521973e-01
1.541593692842271879e-01,1.777489815140143037e-04,3.000005435637481810e+02,2.012165039777755737e-01
1.595906776404731053e-01,1.777556608431041241e-04,3.000005625774380746e+02,2.012591809034347534e-01
1.652133406357370049e-01,1.777722645783796906e-04,3.000005822521904406e+02,2.013033479452133179e-01
1.710341000337840534e-01,1.777877187123522162e-04,3.000006026104661601e+02,2.013490498065948486e-01
1.770599351226898044e-01,1.777739526005461812e-04,3.000006236720734591e+02,2.013963460922241211e-01
1.832980710832435578e-01,1.778117730282247066e-04,3.000006454672986251e+02,2.014452964067459106e-01
1.897559876521850430e-01,1.777947181835770607e-04,3.000006680141303832e+02,2.014959454536437988e-01
